date,gross_equity,net_equity
2020-07-08 00:00:00+00:00,100163.54085128587,98522.18928750591
2020-07-09 00:00:00+00:00,100155.60270142747,98514.38121786006
2020-07-10 00:00:00+00:00,100173.74862360091,98532.2297879483
2020-07-11 00:00:00+00:00,100179.03572742044,98537.43025349558
2020-07-12 00:00:00+00:00,100155.09727675813,98513.88407544159
2020-07-13 00:00:00+00:00,100159.56531415673,98518.27889637732
2020-07-14 00:00:00+00:00,100168.28028083892,98526.85105336978
2020-07-15 00:00:00+00:00,100151.58662211407,98510.4309489005
2020-07-16 00:00:00+00:00,100155.66515789811,98514.44265087425
2020-07-17 00:00:00+00:00,100157.83147475081,98516.5734689065
2020-07-18 00:00:00+00:00,100135.95042847565,98495.05098113693
2020-07-19 00:00:00+00:00,100144.1142496883,98503.08102412448
2020-07-20 00:00:00+00:00,100131.88646590301,98195.54437049512
2020-07-21 00:00:00+00:00,100109.20854584561,98173.30499417034
2020-07-22 00:00:00+00:00,100087.12605052779,98151.64952831098
2020-07-23 00:00:00+00:00,100113.67548583803,98177.68555284855
2020-07-24 00:00:00+00:00,100131.43876525488,98195.1053274449
2020-07-25 00:00:00+00:00,100120.12973338316,98184.01498869125
2020-07-26 00:00:00+00:00,100108.84825483806,98172.9516704403
2020-07-27 00:00:00+00:00,100097.54407647911,98161.86609134263
2020-07-28 00:00:00+00:00,100019.48480514972,98085.3163237123
2020-07-29 00:00:00+00:00,100031.88400011684,97803.21979510688
2020-07-30 00:00:00+00:00,100055.55976785005,97826.36807766274
2020-07-31 00:00:00+00:00,100075.60970161209,97845.97130815477
2020-08-01 00:00:00+00:00,100089.61649785619,97859.66603944349
2020-08-02 00:00:00+00:00,100084.31906614089,97854.48663206173
2020-08-03 00:00:00+00:00,100100.47419641676,97870.2818334916
2020-08-04 00:00:00+00:00,100086.03936353102,97856.16860202003
2020-08-05 00:00:00+00:00,100082.30859250367,97852.52095084918
2020-08-06 00:00:00+00:00,100073.61437441182,97844.02043592355
2020-08-07 00:00:00+00:00,100076.24790341125,97846.59529111239
2020-08-08 00:00:00+00:00,100123.47017866577,97892.76547587005
2020-08-09 00:00:00+00:00,100087.17935920267,97857.28319911427
2020-08-10 00:00:00+00:00,100101.88248880403,97871.65874977448
2020-08-11 00:00:00+00:00,100070.67502399116,97841.1465728736
2020-08-12 00:00:00+00:00,100062.24903683776,97832.90831282489
2020-08-13 00:00:00+00:00,100084.99390129696,97855.146432202
2020-08-14 00:00:00+00:00,100087.27607538916,97857.3777605088
2020-08-15 00:00:00+00:00,100066.75199319024,97837.31094538822
2020-08-16 00:00:00+00:00,100053.46586582737,97824.32082681068
2020-08-17 00:00:00+00:00,100068.03594635014,97838.56629266433
2020-08-18 00:00:00+00:00,100054.44901214757,97825.28206908463
2020-08-19 00:00:00+00:00,100059.77019510332,97830.48469854017
2020-08-20 00:00:00+00:00,100061.67876651153,97832.3507478583
2020-08-21 00:00:00+00:00,100049.66479645758,97820.60444351201
2020-08-22 00:00:00+00:00,100093.47790044616,97863.44141176602
2020-08-23 00:00:00+00:00,100107.13577595465,97876.79499611208
2020-08-24 00:00:00+00:00,100067.69214201588,97838.23014813193
2020-08-25 00:00:00+00:00,100072.41413904942,97842.84694125103
2020-08-26 00:00:00+00:00,100084.63152605126,97561.26358968577
2020-08-27 00:00:00+00:00,100066.60551479581,97543.6920563869
2020-08-28 00:00:00+00:00,100081.4319470326,97558.14467954685
2020-08-29 00:00:00+00:00,100082.7249680581,97559.40510048433
2020-08-30 00:00:00+00:00,100071.63957709148,97548.59919818347
2020-08-31 00:00:00+00:00,100053.3522105464,97530.77289897387
2020-09-01 00:00:00+00:00,100030.38951783505,97215.79683082228
2020-09-02 00:00:00+00:00,100036.0688491922,96929.6689702048
2020-09-03 00:00:00+00:00,100044.5527465871,96937.88941884422
2020-09-04 00:00:00+00:00,100056.60006524489,96949.56263454443
2020-09-05 00:00:00+00:00,100020.34022124665,96914.42876017198
2020-09-06 00:00:00+00:00,100011.25951152018,96905.630031894
2020-09-07 00:00:00+00:00,100035.42243730742,96929.04263121795
2020-09-08 00:00:00+00:00,100016.09962818172,96910.3198493886
2020-09-09 00:00:00+00:00,99972.75052432631,96868.31685651616
2020-09-10 00:00:00+00:00,99994.33425806298,96598.62540435077
2020-09-11 00:00:00+00:00,99965.0358673787,96570.32195808392
2020-09-12 00:00:00+00:00,99956.37749010813,96561.95761075591
2020-09-13 00:00:00+00:00,99982.63593981061,96587.32434943496
2020-09-14 00:00:00+00:00,99969.52238951948,96574.65612236295
2020-09-15 00:00:00+00:00,99979.36886444995,96584.1682207275
2020-09-16 00:00:00+00:00,99995.81159244136,96600.05256991241
2020-09-17 00:00:00+00:00,99978.32610399764,96583.1608713905
2020-09-18 00:00:00+00:00,99978.13617388488,96582.97739111682
2020-09-19 00:00:00+00:00,99914.50414146707,96521.50623968757
2020-09-20 00:00:00+00:00,99895.07541319904,96502.73729184695
2020-09-21 00:00:00+00:00,99891.0363209505,96498.83536318285
2020-09-22 00:00:00+00:00,99867.15321429023,96475.7633032418
2020-09-23 00:00:00+00:00,99900.69952653041,96508.17041584304
2020-09-24 00:00:00+00:00,99873.1803024902,96481.58571747785
2020-09-25 00:00:00+00:00,99880.95756486812,96199.65411455251
2020-09-26 00:00:00+00:00,99877.35314055414,96196.1825381806
2020-09-27 00:00:00+00:00,99847.61552520472,96167.54095943972
2020-09-28 00:00:00+00:00,99875.23467590947,96194.14215359637
2020-09-29 00:00:00+00:00,99851.04389019661,96170.84296549213
2020-09-30 00:00:00+00:00,99849.8434097182,96169.68673101452
2020-10-01 00:00:00+00:00,99868.40848085115,96187.56755099406
2020-10-02 00:00:00+00:00,99858.19840557892,96177.73378754588
2020-10-03 00:00:00+00:00,99853.23378716082,96172.95214962133
2020-10-04 00:00:00+00:00,99864.20041600714,96183.51458241671
2020-10-05 00:00:00+00:00,99861.8120602959,96181.21425411664
2020-10-06 00:00:00+00:00,99868.4965002109,96187.65232623219
